n,algo,time_ms,edge_checks,queue_push,pq_push,pq_pop,relax,path_len,distance
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001125,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002458,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001417,1,2,0,0,0,2,1
2,Dijkstra,0.002583,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002459,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001375,1,2,0,0,0,2,1
2,Dijkstra,0.002542,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002291,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002459,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001333,1,2,0,0,0,2,1
2,Dijkstra,0.003334,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002334,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001292,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001750,1,2,0,0,0,2,1
2,Dijkstra,0.002583,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001291,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002334,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001291,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002291,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001125,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002292,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002417,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001334,1,2,0,0,0,2,1
2,Dijkstra,0.002500,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001541,1,2,0,0,0,2,1
2,Dijkstra,0.002625,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001375,1,2,0,0,0,2,1
2,Dijkstra,0.002459,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001458,1,2,0,0,0,2,1
2,Dijkstra,0.002625,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001417,1,2,0,0,0,2,1
2,Dijkstra,0.002542,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001375,1,2,0,0,0,2,1
2,Dijkstra,0.002709,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002208,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001125,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001083,1,2,0,0,0,2,1
2,Dijkstra,0.002084,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002125,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001375,1,2,0,0,0,2,1
2,Dijkstra,0.002458,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001375,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001125,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002166,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001167,1,2,0,0,0,2,1
2,Dijkstra,0.002542,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001291,1,2,0,0,0,2,1
2,Dijkstra,0.002666,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001250,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002209,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001166,1,2,0,0,0,2,1
2,Dijkstra,0.003250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001292,1,2,0,0,0,2,1
2,Dijkstra,0.002250,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001209,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
2,BFS,0.001208,1,2,0,0,0,2,1
2,Dijkstra,0.002167,1,0,2,2,1,2,3.0403527344294394
